No,Tanggal,Waktu,Tipe,ID Sparepart,Nama Item,Qty,Harga (Rp),PIC,No Report,Jenis Pembelian,Vendor,Keterangan
169,29/5/2026,15.22,IN,MTC-SP-280,Mini Limit Switch (L-sealer),5,0,,,,,Stock report sync (sync 0 → 5)
170,29/5/2026,15.22,IN,MTC-SP-281,Timing Belt 8M 720 / 25mm (Cellophane Device),3,0,,,,,Stock report sync (sync 0 → 3)
171,29/5/2026,15.22,IN,MTC-SP-282,Pogo Pin (Cartridge Resistance),43,0,,,,,Stock report sync (sync 0 → 43)
172,29/5/2026,15.22,IN,MTC-SP-283,Nozzle check valve filling,5,0,,,,,Stock report sync (sync 0 → 5)
173,29/5/2026,15.22,IN,MTC-SP-284,BEARING LMK 20 UU (Capping Cam),7,0,,,,,Stock report sync (sync 0 → 7)
174,29/5/2026,15.22,IN,MTC-SP-287,Solenoid 3V21008 NC,4,0,,,,,Stock report sync (sync 0 → 4)
175,29/5/2026,15.22,IN,MTC-SP-289,Emergency Switch Schneider,10,0,,,,,Stock report sync (sync 0 → 10)
176,29/5/2026,15.22,IN,MTC-SP-290,Socket 3 Pin 16A (PLUG),3,0,,,,,Stock report sync (sync 0 → 3)
177,29/5/2026,15.22,IN,MTC-SP-291,Socket 3 pin 16A,2,0,,,,,Stock report sync (sync 0 → 2)
178,29/5/2026,15.22,IN,MTC-SP-292,BEARING LM10UU (Cellophane Device),10,0,,,,,Stock report sync (sync 0 → 10)
179,29/5/2026,15.22,IN,MTC-SP-293,V Belt A51 (Kompresor),2,0,,,,,Stock report sync (sync 0 → 2)
180,29/5/2026,15.22,IN,MTC-SP-294,Bearing SKF 61902 - 2RS1 (Authenticity),6,0,,,,,Stock report sync (sync 0 → 6)
181,29/5/2026,15.22,IN,MTC-SP-295,IDEC RJ1S CL D24V (Relay Blister Pod X),6,0,,,,,Stock report sync (sync 0 → 6)
182,29/5/2026,15.22,IN,MTC-SP-296,Socket Relay IDEC RJ1S CL 24V,6,0,,,,,Stock report sync (sync 0 → 6)
183,29/5/2026,15.22,IN,MTC-SP-297,Bearing CSK25PP,1,0,,,,,Stock report sync (sync 0 → 1)
184,29/5/2026,15.22,IN,MTC-SP-298,IDEC RELAY RJ2S (24Vdc),3,0,,,,,Stock report sync (sync 0 → 3)
185,29/5/2026,15.22,IN,MTC-SP-299,Socket Relay RJ2S,1,0,,,,,Stock report sync (sync 0 → 1)
186,29/5/2026,15.22,IN,MTC-SP-300,Relay Timer H3Y (24Vdc),2,0,,,,,Stock report sync (sync 0 → 2)
187,29/5/2026,15.22,IN,MTC-SP-301,RELAY MY4N (24Vdc),1,0,,,,,Stock report sync (sync 0 → 1)
188,29/5/2026,15.22,IN,MTC-SP-302,Relay MY4N (220Vac),6,0,,,,,Stock report sync (sync 0 → 6)
189,29/5/2026,15.22,IN,MTC-SP-303,Rod End Bearing Female (Capping Cam),4,0,,,,,Stock report sync (sync 0 → 4)
190,29/5/2026,12.56,LOG,,Broco Stop Kontak isi 1,4,133512,,,Cash,Pojok Jaya Elektrik (Tokopedia),"[⚡ Insidentil / Sekali Pakai] Untuk Pemasangan CCTV di G5 dan D7, serta pemasangan di fly catcher RnD"
191,29/5/2026,12.58,LOG,,Kain Bahan Kabulon Bludru - New Blue BCA,2,97500,,,Cash,Raja Kain Textile,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan mesin cellophane device dan cartridge
192,29/5/2026,15.22,IN,MTC-SP-147,Solid State Relay (SSR),4,0,,,,,Stock report sync (sync 0 → 4)
193,29/5/2026,15.21,IN,MTC-SP-005,Cable Tie 2.5x150,2,0,,,,,Stock report sync (sync 0 → 2)
194,29/5/2026,15.21,IN,MTC-SP-006,Cable Tie 2.5x100,6,0,,,,,Stock report sync (sync 0 → 6)
195,29/5/2026,15.21,IN,MTC-SP-007,Cartridge Ink,5,0,,,,,Stock report sync (sync 0 → 5)
196,29/5/2026,15.21,IN,MTC-SP-008,Iron and Steel Grinding,15,0,,,,,Stock report sync (sync 0 → 15)
197,29/5/2026,15.21,IN,MTC-SP-009,Flap Disc,48,0,,,,,Stock report sync (sync 0 → 48)
198,29/5/2026,15.21,IN,MTC-SP-010,Cutting Sheet,31,0,,,,,Stock report sync (sync 0 → 31)
199,29/5/2026,15.21,IN,MTC-SP-011,Dinabolt M12,39,0,,,,,Stock report sync (sync 0 → 39)
200,29/5/2026,15.21,IN,MTC-SP-012,Dinabolt M8,274,0,,,,,Stock report sync (sync 0 → 274)
201,29/5/2026,15.21,IN,MTC-SP-013,Fisher Kupu - Kupu,97,0,,,,,Stock report sync (sync 0 → 97)
202,29/5/2026,15.21,IN,MTC-SP-015,Fisher S6,267,0,,,,,Stock report sync (sync 0 → 267)
203,29/5/2026,15.21,IN,MTC-SP-016,Bolt Hex M10,32,0,,,,,Stock report sync (sync 0 → 32)
204,29/5/2026,15.21,IN,MTC-SP-017,Nut M10,83,0,,,,,Stock report sync (sync 0 → 83)
205,29/5/2026,15.21,IN,MTC-SP-018,Bolt L M10,45,0,,,,,Stock report sync (sync 0 → 45)
206,29/5/2026,15.21,IN,MTC-SP-019,Bolt L M8,97,0,,,,,Stock report sync (sync 0 → 97)
207,29/5/2026,15.21,IN,MTC-SP-020,Bolt Hex M8,113,0,,,,,Stock report sync (sync 0 → 113)
208,29/5/2026,15.21,IN,MTC-SP-021,Nut M8,356,0,,,,,Stock report sync (sync 0 → 356)
209,29/5/2026,15.21,IN,MTC-SP-022,Ring M8,180,0,,,,,Stock report sync (sync 0 → 180)
210,29/5/2026,15.21,IN,MTC-SP-024,Bolt Hex M6,87,0,,,,,Stock report sync (sync 0 → 87)
211,29/5/2026,15.21,IN,MTC-SP-025,Bolt L M6,87,0,,,,,Stock report sync (sync 0 → 87)
212,29/5/2026,15.21,IN,MTC-SP-026,Nut M6,370,0,,,,,Stock report sync (sync 0 → 370)
213,29/5/2026,15.22,IN,MTC-SP-027,Ring M6,66,0,,,,,Stock report sync (sync 0 → 66)
214,29/5/2026,15.22,IN,MTC-SP-028,Ring Per M6,191,0,,,,,Stock report sync (sync 0 → 191)
215,29/5/2026,15.22,IN,MTC-SP-029,Bolt L M5,65,0,,,,,Stock report sync (sync 0 → 65)
216,29/5/2026,15.22,IN,MTC-SP-030,Nut M5,290,0,,,,,Stock report sync (sync 0 → 290)
217,29/5/2026,15.22,IN,MTC-SP-031,Ring M5,278,0,,,,,Stock report sync (sync 0 → 278)
218,29/5/2026,15.22,IN,MTC-SP-032,Fitting Lurus 6 - 6,8,0,,,,,Stock report sync (sync 0 → 8)
219,29/5/2026,15.22,IN,MTC-SP-033,Fitting Lurus 6 - 8,9,0,,,,,Stock report sync (sync 0 → 9)
220,29/5/2026,15.22,IN,MTC-SP-034,Fitting Lurus 8 - 8,10,0,,,,,Stock report sync (sync 0 → 10)
221,29/5/2026,15.22,IN,MTC-SP-035,Fitting Lurus 8 - 12,2,0,,,,,Stock report sync (sync 0 → 2)
222,29/5/2026,15.22,IN,MTC-SP-036,Fitting Lurus 12 - 12,17,0,,,,,Stock report sync (sync 0 → 17)
223,29/5/2026,15.22,IN,MTC-SP-037,"Fitting 6 - 1/2""",16,0,,,,,Stock report sync (sync 0 → 16)
224,29/5/2026,15.22,IN,MTC-SP-038,"Fitting 8 - 1/2""",12,0,,,,,Stock report sync (sync 0 → 12)
225,29/5/2026,15.22,IN,MTC-SP-039,"Fitting 12 - 1/2""",1,0,,,,,Stock report sync (sync 0 → 1)
226,29/5/2026,15.22,IN,MTC-SP-040,"Fitting 12 - 1""",1,0,,,,,Stock report sync (sync 0 → 1)
227,29/5/2026,15.22,IN,MTC-SP-043,"Double Naple 1/2"" - 5/8""",2,0,,,,,Stock report sync (sync 0 → 2)
228,29/5/2026,15.22,IN,MTC-SP-044,"Fitting L 6 - 3/16""",10,0,,,,,Stock report sync (sync 0 → 10)
229,29/5/2026,15.22,IN,MTC-SP-045,"Fitting L 6 - 3/8""",7,0,,,,,Stock report sync (sync 0 → 7)
230,29/5/2026,15.22,IN,MTC-SP-046,"Fitting L 8 - 3/8""",11,0,,,,,Stock report sync (sync 0 → 11)
231,29/5/2026,15.22,IN,MTC-SP-047,"Fitting L 8 - 1/2""",4,0,,,,,Stock report sync (sync 0 → 4)
232,29/5/2026,15.22,IN,MTC-SP-048,"Fitting L 10 - 1/2""",2,0,,,,,Stock report sync (sync 0 → 2)
233,29/5/2026,15.22,IN,MTC-SP-049,"Naple Speed Control 8 - 3/8""",8,0,,,,,Stock report sync (sync 0 → 8)
234,29/5/2026,15.22,IN,MTC-SP-050,"Naple Speed Control 8 - 5/8""",10,0,,,,,Stock report sync (sync 0 → 10)
235,29/5/2026,15.22,IN,MTC-SP-051,"Naple Speed Control 6 - 3/16""",5,0,,,,,Stock report sync (sync 0 → 5)
236,29/5/2026,15.22,IN,MTC-SP-052,"Naple Speed Control 6 - 1/2""",20,0,,,,,Stock report sync (sync 0 → 20)
237,29/5/2026,15.22,IN,MTC-SP-053,"Naple Speed Control 6 - 5/8""",10,0,,,,,Stock report sync (sync 0 → 10)
238,29/5/2026,15.22,IN,MTC-SP-054,Fitting Y 6 - 6,17,0,,,,,Stock report sync (sync 0 → 17)
239,29/5/2026,15.22,IN,MTC-SP-055,Fitting Y 6 - 8,19,0,,,,,Stock report sync (sync 0 → 19)
240,29/5/2026,15.22,IN,MTC-SP-056,Fitting Y 8 - 8,4,0,,,,,Stock report sync (sync 0 → 4)
241,29/5/2026,15.22,IN,MTC-SP-057,Fitting Y 8 - 12,13,0,,,,,Stock report sync (sync 0 → 13)
242,29/5/2026,15.22,IN,MTC-SP-058,Fitting Y 12 - 12,15,0,,,,,Stock report sync (sync 0 → 15)
243,29/5/2026,15.22,IN,MTC-SP-059,Fitting T 6 - 8,21,0,,,,,Stock report sync (sync 0 → 21)
244,29/5/2026,15.22,IN,MTC-SP-060,Fitting T 8 - 8,9,0,,,,,Stock report sync (sync 0 → 9)
245,29/5/2026,15.22,IN,MTC-SP-061,"Silencer Pneumatic 3/8""",9,0,,,,,Stock report sync (sync 0 → 9)
246,29/5/2026,15.22,IN,MTC-SP-062,Biaxial Cylinder TN 20 X 40S,8,0,,,,,Stock report sync (sync 0 → 8)
247,29/5/2026,15.22,IN,MTC-SP-063,Cylinder 16 X 30 (Piston Capping),3,0,,,,,Stock report sync (sync 0 → 3)
248,29/5/2026,15.22,IN,MTC-SP-064,Cellophane Heater,2,0,,,,,Stock report sync (sync 0 → 2)
249,29/5/2026,15.22,IN,MTC-SP-066,Timing Belt 150L,3,0,,,,,Stock report sync (sync 0 → 3)
250,29/5/2026,15.22,IN,MTC-SP-067,Timing Belt 270XL,5,0,,,,,Stock report sync (sync 0 → 5)
251,29/5/2026,15.22,IN,MTC-SP-068,Timing Belt HTD 450 - 5M,4,0,,,,,Stock report sync (sync 0 → 4)
252,29/5/2026,15.22,IN,MTC-SP-069,Timing Belt HTD 475 - 5M,2,0,,,,,Stock report sync (sync 0 → 2)
253,29/5/2026,15.22,IN,MTC-SP-070,Timing Belt HTD 550 - 5M,1,0,,,,,Stock report sync (sync 0 → 1)
254,29/5/2026,15.22,IN,MTC-SP-071,Timing Belt HTD 1295 - 5M,3,0,,,,,Stock report sync (sync 0 → 3)
255,29/5/2026,15.22,IN,MTC-SP-072,V Belt A 25,3,0,,,,,Stock report sync (sync 0 → 3)
256,29/5/2026,15.22,IN,MTC-SP-073,V Belt M28,1,0,,,,,Stock report sync (sync 0 → 1)
257,29/5/2026,15.22,IN,MTC-SP-074,Kepala Steker,39,0,,,,,Stock report sync (sync 0 → 39)
258,29/5/2026,15.22,IN,MTC-SP-075,Loctite,2,0,,,,,Stock report sync (sync 0 → 2)
259,29/5/2026,15.22,IN,MTC-SP-077,Solenoid 4V21008 (AC 220V),6,0,,,,,Stock report sync (sync 0 → 6)
260,29/5/2026,15.22,IN,MTC-SP-079,Solenoid 4V21008 (DC 24V),10,0,,,,,Stock report sync (sync 0 → 10)
261,29/5/2026,15.22,IN,MTC-SP-080,Karet Holding,2,0,,,,,Stock report sync (sync 0 → 2)
262,29/5/2026,15.22,IN,MTC-SP-081,Karet Capping,17,0,,,,,Stock report sync (sync 0 → 17)
263,29/5/2026,15.22,IN,MTC-SP-082,Insulation Tape,5,0,,,,,Stock report sync (sync 0 → 5)
264,29/5/2026,15.22,IN,MTC-SP-084,Floating Joint,4,0,,,,,Stock report sync (sync 0 → 4)
265,29/5/2026,15.22,IN,MTC-SP-086,Solenoid 3V21008 (DC 24),4,0,,,,,Stock report sync (sync 0 → 4)
266,29/5/2026,15.22,IN,MTC-SP-088,Nikelin,6,0,,,,,Stock report sync (sync 0 → 6)
267,29/5/2026,15.22,IN,MTC-SP-089,Rod End Bearing,13,0,,,,,Stock report sync (sync 0 → 13)
268,29/5/2026,15.22,IN,MTC-SP-090,Bearing 6002,17,0,,,,,Stock report sync (sync 0 → 17)
269,29/5/2026,15.22,IN,MTC-SP-091,Bearing LM25UU,31,0,,,,,Stock report sync (sync 0 → 31)
270,29/5/2026,15.22,IN,MTC-SP-092,Bearing 6800ZZ,2,0,,,,,Stock report sync (sync 0 → 2)
271,29/5/2026,15.22,IN,MTC-SP-093,Bearing 680ZZ,3,0,,,,,Stock report sync (sync 0 → 3)
272,29/5/2026,15.22,IN,MTC-SP-094,Cylinder SDA 40 x 30,1,0,,,,,Stock report sync (sync 0 → 1)
273,29/5/2026,15.22,IN,MTC-SP-095,Bearing 6004Z,1,0,,,,,Stock report sync (sync 0 → 1)
274,29/5/2026,15.22,IN,MTC-SP-097,Bearing 6001ZZ,4,0,,,,,Stock report sync (sync 0 → 4)
275,29/5/2026,15.22,IN,MTC-SP-099,Micro Gear Pump (Motor Filling),4,0,,,,,Stock report sync (sync 0 → 4)
276,29/5/2026,15.22,IN,MTC-SP-100,Carbon Brush Shrink,15,0,,,,,Stock report sync (sync 0 → 15)
277,29/5/2026,15.22,IN,MTC-SP-101,Pisau Porforasi,7,0,,,,,Stock report sync (sync 0 → 7)
278,29/5/2026,15.22,IN,MTC-SP-102,Sliding Block,2,0,,,,,Stock report sync (sync 0 → 2)
279,29/5/2026,15.22,IN,MTC-SP-106,Pilot Lamp Yellow,6,0,,,,,Stock report sync (sync 0 → 6)
280,29/5/2026,15.22,IN,MTC-SP-107,Emergency Switch,5,0,,,,,Stock report sync (sync 0 → 5)
281,29/5/2026,15.22,IN,MTC-SP-108,Servo Motor DC 5,2,0,,,,,Stock report sync (sync 0 → 2)
282,29/5/2026,15.22,IN,MTC-SP-109,Push Button,8,0,,,,,Stock report sync (sync 0 → 8)
283,29/5/2026,15.22,IN,MTC-SP-110,Pilot Lamp Red,6,0,,,,,Stock report sync (sync 0 → 6)
284,29/5/2026,15.22,IN,MTC-SP-111,Pilot Lamp Green,8,0,,,,,Stock report sync (sync 0 → 8)
285,29/5/2026,15.22,IN,MTC-SP-113,Kapasitor 7 mF,5,0,,,,,Stock report sync (sync 0 → 5)
286,29/5/2026,15.22,IN,MTC-SP-114,Kapasitor 8 mF,4,0,,,,,Stock report sync (sync 0 → 4)
287,29/5/2026,15.22,IN,MTC-SP-115,Kapasitor 10 mF,4,0,,,,,Stock report sync (sync 0 → 4)
288,29/5/2026,15.22,IN,MTC-SP-116,Kapasitor 40 mF,2,0,,,,,Stock report sync (sync 0 → 2)
289,29/5/2026,15.22,IN,MTC-SP-117,Kapasitor 50 mF,3,0,,,,,Stock report sync (sync 0 → 3)
290,29/5/2026,15.22,IN,MTC-SP-118,Kapasitor 200 mF,3,0,,,,,Stock report sync (sync 0 → 3)
291,29/5/2026,15.22,IN,MTC-SP-119,Potensiometer,5,0,,,,,Stock report sync (sync 0 → 5)
292,29/5/2026,15.22,IN,MTC-SP-120,Selector Switch,13,0,,,,,Stock report sync (sync 0 → 13)
293,29/5/2026,15.22,IN,MTC-SP-121,Power Push Button Switch,4,0,,,,,Stock report sync (sync 0 → 4)
294,29/5/2026,15.22,IN,MTC-SP-122,Changover Switch,3,0,,,,,Stock report sync (sync 0 → 3)
295,29/5/2026,15.22,IN,MTC-SP-123,Sensor BF3RX,11,0,,,,,Stock report sync (sync 0 → 11)
296,29/5/2026,15.22,IN,MTC-SP-124,Sensor BF5R - D1 - N,7,0,,,,,Stock report sync (sync 0 → 7)
297,29/5/2026,15.22,IN,MTC-SP-125,Photoelectric Switch,6,0,,,,,Stock report sync (sync 0 → 6)
298,29/5/2026,15.22,IN,MTC-SP-127,Terminal 12 Slot,7,0,,,,,Stock report sync (sync 0 → 7)
299,29/5/2026,15.22,IN,MTC-SP-128,Proximity Sensor,3,0,,,,,Stock report sync (sync 0 → 3)
300,29/5/2026,15.22,IN,MTC-SP-129,Speed Controller,3,0,,,,,Stock report sync (sync 0 → 3)
301,29/5/2026,15.22,IN,MTC-SP-130,Temperature Controller,3,0,,,,,Stock report sync (sync 0 → 3)
302,29/5/2026,15.22,IN,MTC-SP-131,Counter,2,0,,,,,Stock report sync (sync 0 → 2)
303,29/5/2026,15.22,IN,MTC-SP-132,Timer,6,0,,,,,Stock report sync (sync 0 → 6)
304,29/5/2026,15.22,IN,MTC-SP-133,DC Brushed Motor Speed governor,5,0,,,,,Stock report sync (sync 0 → 5)
305,29/5/2026,15.22,IN,MTC-SP-134,Fork Sensor Sick,5,0,,,,,Stock report sync (sync 0 → 5)
306,29/5/2026,15.22,IN,MTC-SP-135,Photoelectric Sensor,1,0,,,,,Stock report sync (sync 0 → 1)
307,29/5/2026,15.22,IN,MTC-SP-136,Insulator,2,0,,,,,Stock report sync (sync 0 → 2)
308,29/5/2026,15.22,IN,MTC-SP-137,Switch ON/OFF,9,0,,,,,Stock report sync (sync 0 → 9)
309,29/5/2026,15.22,IN,MTC-SP-138,Relay MKS2P,5,0,,,,,Stock report sync (sync 0 → 5)
310,29/5/2026,15.22,IN,MTC-SP-139,Relay Socket PTF - 08A,64,0,,,,,Stock report sync (sync 0 → 64)
311,29/5/2026,15.22,IN,MTC-SP-140,Relay LY2N DC,55,0,,,,,Stock report sync (sync 0 → 55)
312,29/5/2026,15.22,IN,MTC-SP-141,Relay LY2N AC,50,0,,,,,Stock report sync (sync 0 → 50)
313,29/5/2026,15.22,IN,MTC-SP-142,Contactor 09A,3,0,,,,,Stock report sync (sync 0 → 3)
314,29/5/2026,15.22,IN,MTC-SP-143,Contactor 25A,6,0,,,,,Stock report sync (sync 0 → 6)
315,29/5/2026,15.22,IN,MTC-SP-144,Relay Songle 10mF,5,0,,,,,Stock report sync (sync 0 → 5)
316,29/5/2026,15.22,IN,MTC-SP-145,Single Phase Motor Speed Regulator,2,0,,,,,Stock report sync (sync 0 → 2)
317,29/5/2026,15.22,IN,MTC-SP-146,Relay Socket PF0 - 083A (Socket Timer & Counter),15,0,,,,,Stock report sync (sync 0 → 15)
318,29/5/2026,15.21,IN,MTC-SP-001,Isolasi Tahan Panas,31,0,,,,,Stock report sync (sync 0 → 31)
319,29/5/2026,15.22,IN,MTC-SP-148,Overload LRD 12,4,0,,,,,Stock report sync (sync 0 → 4)
320,29/5/2026,15.22,IN,MTC-SP-149,Relay MY2N DC,10,0,,,,,Stock report sync (sync 0 → 10)
321,29/5/2026,15.22,IN,MTC-SP-176,"Tee Kombinasi Galvanish 1/4"" - 1/2""",5,0,,,,,Stock report sync (sync 0 → 5)
322,29/5/2026,15.22,IN,MTC-SP-177,"Tee Galvanish 1""",1,0,,,,,Stock report sync (sync 0 → 1)
323,29/5/2026,15.22,IN,MTC-SP-178,"Elbow 1""",2,0,,,,,Stock report sync (sync 0 → 2)
324,29/5/2026,15.22,IN,MTC-SP-179,Watermoor Galvanish,1,0,,,,,Stock report sync (sync 0 → 1)
325,29/5/2026,15.22,IN,MTC-SP-180,Taffhome Tutup Pintu Automatic,1,0,,,,,Stock report sync (sync 0 → 1)
326,29/5/2026,15.22,IN,MTC-SP-182,Ball Valve,3,0,,,,,Stock report sync (sync 0 → 3)
327,29/5/2026,15.22,IN,MTC-SP-183,"Elbow 1 1/2""",6,0,,,,,Stock report sync (sync 0 → 6)
328,29/5/2026,15.22,IN,MTC-SP-185,"Double Naple Galvanish 1""",3,0,,,,,Stock report sync (sync 0 → 3)
329,29/5/2026,15.22,IN,MTC-SP-186,"Double Naple Galvanish 3/4""",2,0,,,,,Stock report sync (sync 0 → 2)
330,29/5/2026,15.22,IN,MTC-SP-187,"Double Naple Galvanish 1/2""",3,0,,,,,Stock report sync (sync 0 → 3)
331,8/5/2026,16.06,IN,MTC-SP-304,Bearing 6801 ZZ (NTN),3,38000,,,Cash,Toko Agung Teknik,
332,6/5/2026,17.44,LOG,,Piston A03 Filling Machine,1,168000,,,Cash,Hualian Machinery Indonesia (Tokopedia),[🚨 Emergency / Urgent] Kebutuhan pergantian sparepart mesin filling manual
333,1/4/2026,12.36,IN,,Bearing 6800ZZ (NTN),6,37879,,,PO,Tokopedia,
334,23/1/2026,16.15,IN,MTC-SP-305,Bearing 6000ZZ (NTN),2,23000,,,Cash,MM Bearing,
